ID;deutsche Bezeichnung;Reich;Familie;Gattung;Art;Variation;Höhe max [cm];Etage;Wurzel;Wurzeltyp;Tiefe der Wurzeln;einjährig;mehrjährig;Raunkiaer;krautig;ausdauernd;sommergrün;immergrün;winterhart;Philie;Lichtzahl (L);Schatten;Halbschatten ;Vollsonne;Temperaturzahl (T);Temperaturminimum;Durchschnittliche minimale Temperatur [in °C];Feuchtigkeit (F);Bodenfeuchte;Boden;Sand;Lehm;durchlässig;locker;humusreich;humusarm;Kalkhaltig;Wasser;Steine;Trockenheitsresistenz;Hang;Salztoleranz;Kontinentalitätszahl (K);Reaktionszahl (R);Nährstoffzahl (N);Pflanzengesellschaft;ph;PH ideal;Nutzen;Funktion;Produkte;Bau;Fasern;Mulchmaterial;Gründünger;Stickstofffixierung;Boden lockernd;Giftig;Warnung;Blütezeit;Farbe Blüte;Bunte Blüte;Nektar;Pollen;Blüht am x Jährigen Trieb;Erntereif nach x Tagen;Erntemethode;Schnitt;Vermehrung;Bestäubung;Bestäubung.1;beneficial Insects ;Nützling;Nisthilfe;Verbreitung;Population;Rote Liste;Neophyt;bedrohte Art;Schutzbedarf;Vorhandene Samen;Hybride mit;Überdauerungsorgan;Pflanzschema;Beipflanzung ;Beipflanzung;Vorfrucht;USDA;USDA.1;RHS;RHS.1;Strategoe;Kohlenstofffixierung;
1;Ackerbohne ;Plantae;Fabaceae;Vicia;faba;;120;5;x;Pfahlwurzel;180;x;-;T;x;-;x;-;-;-;L6;-;x;x;T6;-15;-15;F5;mäßig feucht;durchlässig;-;x;x;x;x;-;-;-;-;-;-;-;K4;R6;N7;-;6.0-7.5;7.0;E;Nutzpflanze;Bohnen;-;-;-;x;x;-;-;-;Mai-Juli;weiß;-;x;x;einjährig;120-150;Pflücken;-;Aussaat;Insektenbestäubung;Bienen;x;x;-;-;-;-;-;-;-;-;-;-;Beipflanzung;Vorfrucht;-;Z3;-;H7;-;-;-;
2;Amsel;Metazoa;Turdidae;Turdus;merula;-;25;-;-;-;-;-;-;-;-;-;-;-;x;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;Apfrikose;Plantae;Rosaceae;Prunus;armeniaca;;400;2;x;Herzwurzel;200;-;x;P;x;x;-;-;x;-;L6;-;x;x;T6;-5;-20;F4;mäßig feucht;durchlässig;-;x;x;x;x;-;-;-;-;-;-;-;K4;R6;N5;-;6.0-7.0;6.5;E;Obstbaum;Aprikosen;-;-;-;-;-;-;-;-;April-Mai;weiß-rosa;x;x;x;2;120-150;Pflücken;Schnitt;Veredelung;Insektenbestäubung;Bienen;x;x;-;-;-;-;-;-;-;-;-;-;-;-;-;Z4;-;H6;-;-;-;
4;Aronia;Plantae;Rosaceae;Aronia;arbutifolia;;200;3;-;Flachwurzel;100;-;x;C;x;x;-;-;x;-;L5;-;x;x;T5;-25;-25;F5;mäßig feucht;humusreich;-;x;x;x;x;-;x;-;-;-;-;-;K3;R5;N4;-;4.5-6.5;5.5;E;Obststrauch;Aroniabeeren;-;-;-;-;-;-;-;-;Mai-Juni;weiß;-;x;x;2;90-120;Pflücken;Schnitt;Stecklinge;Insektenbestäubung;Bienen;x;x;-;-;-;-;-;-;-;-;-;-;-;-;Z3;-;H7;-;-;-;
5;Aronia Melanocarpa;Plantae;Rosaceae;Aronia;melanocarpa;;300;3;-;Flachwurzel;120;-;x;C;x;x;-;-;x;-;L5;-;x;x;T5;-25;-25;F5;mäßig feucht;humusreich;-;x;x;x;x;-;x;-;-;-;-;-;K3;R5;N4;-;4.5-6.5;5.5;E;Obststrauch;Aroniabeeren;-;-;-;-;-;-;-;-;Mai-Juni;weiß;-;x;x;2;90-120;Pflücken;Schnitt;Stecklinge;Insektenbestäubung;Bienen;x;x;-;-;-;-;-;-;-;-;-;-;-;-;Z4;-;H7;-;-;-;
6;Austern-Seitling;Fungi;Pleurotaceae;Pleurotus;ostreatus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;E;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;Bärlauch;Plantae;Amaryllidaceae;Allium;ursinum;-;50;5;-;-;-;x;G;x;-;-;-;-;-;L2;-;-;-;-;-;-;F6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;E;P;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;Basilikum;Plantae;Lamiaceae;Ocimum;basilicum;;60;4;-;Flachwurzel;25;x;-;T;x;-;x;-;-;-;L6;-;x;x;T7;10;5;F5;mäßig feucht;durchlässig;-;x;x;x;x;-;-;-;-;-;-;-;K4;R6;N6;-;6.0-7.5;6.5;E;Gewürzpflanze;Blätter;-;-;-;-;-;-;-;-;Juni-September;weiß;-;x;x;einjährig;60-90;Pflücken;Schnitt;Aussaat;Insektenbestäubung;Bienen;x;x;-;-;-;-;-;-;-;-;-;-;-;-;Z9;-;H1;-;-;-;;;;;
9;Beinwell;Plantae;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E M;;;;;;;;;;;;R W Ge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Berg-Bohnenkraut;Plantae;Lamiaceae;Satureja;montana;;40;4;;;;;x;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
